date,region,sales_rep,product,deal_stage,deal_size,units_sold,unit_price,revenue,month,month_name,quarter,day_of_week,is_won,revenue_per_unit
2023-11-24,East,Frank,Hardware,Closed Won,Medium,11,14309.61,157405.71,11,Nov,4,Friday,1,14309.61
2023-02-27,West,Grace,Support Package,Closed Won,Small,5,5267.93,26339.65,2,Feb,1,Monday,1,5267.93
2023-01-13,North,Alice,Training,Closed Won,Medium,13,10103.55,131346.15,1,Jan,1,Friday,1,10103.55
2023-05-21,East,Alice,Software Liscense,Closed Won,Small,5,11401.46,57007.3,5,May,2,Sunday,1,11401.46
2023-05-06,East,Alice,Training,Closed Lost,Medium,13,12273.22,0.0,5,May,2,Saturday,0,0.0
2023-04-25,West,Eva,Software Liscense,Closed Won,Small,6,14213.37,85280.22,4,Apr,2,Tuesday,1,14213.37
2023-03-13,North,David,Consulting,Closed Lost,Small,5,5037.33,0.0,3,Mar,1,Monday,0,0.0
2023-02-22,North,Eva,Software Liscense,Closed Won,Large,9,12948.34,116535.06,2,Feb,1,Wednesday,1,12948.34
2023-12-13,East,David,Hardware,Closed Lost,Medium,16,2409.46,0.0,12,Dec,4,Wednesday,0,0.0
2023-10-07,South,Henry,Support Package,Closed Won,Small,2,10723.09,21446.18,10,Oct,4,Saturday,1,10723.09
2023-02-14,East,Eva,Software License,Closed Won,Small,1,11258.68,11258.68,2,Feb,1,Tuesday,1,11258.68
2023-10-30,East,Eva,Software Liscense,Closed Won,Large,8,10326.99,82615.92,10,Oct,4,Monday,1,10326.99
2023-08-05,East,Frank,Training,Closed Lost,Small,19,4158.56,0.0,8,Aug,3,Saturday,0,0.0
2023-01-17,East,Carol,Software License,Closed Lost,Small,11,13159.13,0.0,1,Jan,1,Tuesday,0,0.0
2023-01-16,West,Eva,Consulting,Closed Lost,Small,12,2948.45,0.0,1,Jan,1,Monday,0,0.0
2023-02-17,North,Frank,Software Liscense,Closed Won,Small,12,1277.7,15332.4,2,Feb,1,Friday,1,1277.7
2023-04-22,Unknown,Bob,Consulting,Closed Won,Medium,7,10903.24,76322.68,4,Apr,2,Saturday,1,10903.24
2023-04-30,West,Carol,Training,Closed Won,Medium,13,7394.4,96127.2,4,Apr,2,Sunday,1,7394.4
2023-09-16,West,Henry,Consulting,Closed Won,Small,8,12811.92,102495.36,9,Sep,3,Saturday,1,12811.92
2023-11-05,East,Eva,Training,Closed Won,Medium,9,6059.26,54533.34,11,Nov,4,Sunday,1,6059.26
2023-01-14,Unknown,Grace,Software Liscense,Closed Lost,Small,7,2940.04,0.0,1,Jan,1,Saturday,0,0.0
2023-10-15,North,Alice,Support Package,Closed Lost,Large,15,12628.41,0.0,10,Oct,4,Sunday,0,0.0
2023-04-12,South,Bob,Consulting,Closed Lost,Large,2,7411.74,0.0,4,Apr,2,Wednesday,0,0.0
2023-11-29,West,Bob,Support Package,Closed Lost,Small,12,3243.34,0.0,11,Nov,4,Wednesday,0,0.0
2023-12-26,West,Henry,Training,Closed Won,Large,1,10945.57,10945.57,12,Dec,4,Tuesday,1,10945.57
2023-10-07,South,Frank,Consulting,Closed Won,Medium,8,7911.15,63289.2,10,Oct,4,Saturday,1,7911.15
2023-08-03,South,Bob,Hardware,Closed Won,Small,5,9262.54,46312.7,8,Aug,3,Thursday,1,9262.54
2023-04-23,South,Carol,Support Package,Closed Lost,Small,15,7183.03,0.0,4,Apr,2,Sunday,0,0.0
2023-08-18,West,Eva,Consulting,Closed Won,Small,1,12516.28,12516.28,8,Aug,3,Friday,1,12516.28
2023-10-29,West,Eva,Support Package,Closed Won,Medium,1,12528.66,12528.66,10,Oct,4,Sunday,1,12528.66
2023-05-23,North,Grace,Consulting,Closed Won,Large,10,10786.14,107861.4,5,May,2,Tuesday,1,10786.14
2023-01-04,North,Henry,Software Liscense,Closed Won,Medium,10,2028.32,20283.2,1,Jan,1,Wednesday,1,2028.32
2023-03-23,West,Alice,Support Package,Closed Lost,Large,15,12663.38,0.0,3,Mar,1,Thursday,0,0.0
2023-12-24,South,Frank,Hardware,Closed Lost,Medium,17,10229.69,0.0,12,Dec,4,Sunday,0,0.0
2023-08-05,South,Alice,Hardware,Closed Won,Medium,6,10606.85,63641.1,8,Aug,3,Saturday,1,10606.85
2023-06-24,North,Bob,Training,Closed Lost,Medium,3,5763.25,0.0,6,Jun,2,Saturday,0,0.0
2023-05-23,West,Henry,Consulting,Closed Lost,Small,13,13249.55,0.0,5,May,2,Tuesday,0,0.0
2023-03-21,North,Grace,Support Package,Closed Won,Medium,16,11017.89,176286.24,3,Mar,1,Tuesday,1,11017.89
2023-04-21,North,Alice,Training,Closed Won,Medium,8,2132.56,17060.48,4,Apr,2,Friday,1,2132.56
2023-06-22,Unknown,Carol,Support Package,Closed Won,Small,15,6412.78,96191.7,6,Jun,2,Thursday,1,6412.78
2023-02-22,East,Eva,Consulting,Closed Won,Medium,17,13352.52,226992.84,2,Feb,1,Wednesday,1,13352.52
2023-02-17,East,Bob,Hardware,Closed Lost,Small,17,1184.35,0.0,2,Feb,1,Friday,0,0.0
2023-07-14,South,Grace,Software Liscense,Closed Won,Medium,13,14440.54,187727.02,7,Jul,3,Friday,1,14440.54
2023-02-19,West,Alice,Hardware,Closed Lost,Medium,17,10347.86,0.0,2,Feb,1,Sunday,0,0.0
2023-07-03,West,Frank,Training,Closed Won,Small,6,7411.74,44470.44,7,Jul,3,Monday,1,7411.74
2023-06-26,West,Carol,Software Liscense,Closed Won,Small,17,4423.11,75192.87,6,Jun,2,Monday,1,4423.11
2023-11-06,West,Carol,Training,Closed Won,Small,16,4107.48,65719.68,11,Nov,4,Monday,1,4107.48
2023-05-16,East,Alice,Consulting,Closed Won,Large,14,14159.84,198237.76,5,May,2,Tuesday,1,14159.84
2023-01-23,South,Eva,Software Liscense,Closed Won,Small,13,4824.95,62724.35,1,Jan,1,Monday,1,4824.95
2023-08-24,Unknown,Alice,Training,Closed Lost,Large,6,11744.83,0.0,8,Aug,3,Thursday,0,0.0
2023-10-02,East,Bob,Consulting,Closed Won,Small,3,6200.27,18600.81,10,Oct,4,Monday,1,6200.27
2023-03-05,South,Alice,Hardware,Closed Won,Large,14,2519.18,35268.52,3,Mar,1,Sunday,1,2519.18
2023-07-13,East,Carol,Consulting,Closed Won,Large,14,655.37,9175.18,7,Jul,3,Thursday,1,655.37
2023-02-10,West,Grace,Support Package,Closed Won,Small,15,8391.73,125875.95,2,Feb,1,Friday,1,8391.73
2023-10-10,East,Alice,Consulting,Closed Won,Medium,8,14648.79,117190.32,10,Oct,4,Tuesday,1,14648.79
2023-05-31,West,Eva,Consulting,Closed Won,Small,15,5852.47,87787.05,5,May,2,Wednesday,1,5852.47
2023-11-18,West,Henry,Support Package,Closed Won,Medium,13,5679.29,73830.77,11,Nov,4,Saturday,1,5679.29
2023-11-13,North,Grace,Training,Closed Won,Small,17,5489.33,93318.61,11,Nov,4,Monday,1,5489.33
2023-07-05,East,Frank,Training,Closed Won,Small,3,8047.89,24143.67,7,Jul,3,Wednesday,1,8047.89
2023-10-23,North,David,Consulting,Closed Won,Small,6,6889.64,41337.84,10,Oct,4,Monday,1,6889.64
2023-04-09,East,Alice,Support Package,Closed Won,Small,5,7411.74,37058.7,4,Apr,2,Sunday,1,7411.74
2023-12-27,East,Eva,Support Package,Closed Won,Small,17,7830.05,133110.85,12,Dec,4,Wednesday,1,7830.05
2023-02-05,North,Grace,Hardware,Closed Lost,Medium,2,7862.49,0.0,2,Feb,1,Sunday,0,0.0
2023-01-24,North,Eva,Training,Closed Lost,Large,15,2506.39,0.0,1,Jan,1,Tuesday,0,0.0
2023-12-05,East,Frank,Software Liscense,Closed Won,Small,5,14749.72,73748.6,12,Dec,4,Tuesday,1,14749.72
2023-04-27,South,Carol,Training,Closed Won,Medium,6,4124.61,24747.66,4,Apr,2,Thursday,1,4124.61
2023-05-29,Unknown,Eva,Training,Closed Lost,Small,6,1563.78,0.0,5,May,2,Monday,0,0.0
2023-02-10,North,Grace,Hardware,Closed Lost,Medium,18,10115.62,0.0,2,Feb,1,Friday,0,0.0
2023-04-30,West,Eva,Software Liscense,Closed Won,Large,18,9132.81,164390.58,4,Apr,2,Sunday,1,9132.81
2023-02-21,South,Eva,Hardware,Closed Lost,Large,4,6519.61,0.0,2,Feb,1,Tuesday,0,0.0
2023-07-14,South,Eva,Software Liscense,Closed Won,Large,17,6621.79,112570.43,7,Jul,3,Friday,1,6621.79
2023-05-23,South,Bob,Consulting,Closed Won,Small,14,11883.43,166368.02,5,May,2,Tuesday,1,11883.43
2023-08-21,North,Bob,Software Liscense,Closed Won,Medium,14,3337.83,46729.62,8,Aug,3,Monday,1,3337.83
2023-11-22,South,Carol,Hardware,Closed Won,Medium,13,12393.67,161117.71,11,Nov,4,Wednesday,1,12393.67
2023-07-06,North,Alice,Training,Closed Lost,Small,7,9906.83,0.0,7,Jul,3,Thursday,0,0.0
2023-03-25,South,Eva,Software Liscense,Closed Lost,Large,12,6575.06,0.0,3,Mar,1,Saturday,0,0.0
2023-07-09,West,Frank,Software Liscense,Closed Won,Small,15,7141.41,107121.15,7,Jul,3,Sunday,1,7141.41
2023-07-01,West,Alice,Support Package,Closed Won,Medium,19,4221.38,80206.22,7,Jul,3,Saturday,1,4221.38
2023-04-18,East,Frank,Training,Closed Won,Small,11,11405.66,125462.26,4,Apr,2,Tuesday,1,11405.66
2023-12-10,West,Alice,Consulting,Closed Won,Small,15,7936.68,119050.2,12,Dec,4,Sunday,1,7936.68
2023-05-17,East,Carol,Hardware,Closed Lost,Medium,12,5152.39,0.0,5,May,2,Wednesday,0,0.0
2023-12-26,West,Eva,Consulting,Closed Won,Medium,3,9142.73,27428.19,12,Dec,4,Tuesday,1,9142.73
2023-12-16,North,Eva,Training,Closed Won,Small,17,14938.15,253948.55,12,Dec,4,Saturday,1,14938.15
2023-11-28,West,David,Software Liscense,Closed Lost,Small,3,6811.3,0.0,11,Nov,4,Tuesday,0,0.0
2023-02-06,East,Frank,Software Liscense,Closed Won,Medium,19,13850.03,263150.57,2,Feb,1,Monday,1,13850.03
2023-11-08,East,Alice,Training,Closed Lost,Small,4,5502.74,0.0,11,Nov,4,Wednesday,0,0.0
2023-11-22,South,Alice,Software Liscense,Closed Won,Small,3,1293.62,3880.86,11,Nov,4,Wednesday,1,1293.62
2023-03-29,North,Henry,Software Liscense,Closed Lost,Large,16,3461.51,0.0,3,Mar,1,Wednesday,0,0.0
2023-10-01,West,Henry,Software License,Closed Won,Medium,12,6571.08,78852.96,10,Oct,4,Sunday,1,6571.08
2023-05-06,South,Bob,Hardware,Closed Won,Small,8,3684.71,29477.68,5,May,2,Saturday,1,3684.71
2023-03-25,West,David,Hardware,Closed Won,Medium,17,503.29,8555.93,3,Mar,1,Saturday,1,503.29
2023-08-25,West,Grace,Support Package,Closed Won,Medium,7,13767.52,96372.64,8,Aug,3,Friday,1,13767.52
2023-07-14,South,Henry,Consulting,Closed Lost,Large,11,12736.25,0.0,7,Jul,3,Friday,0,0.0
2023-05-19,South,Grace,Training,Closed Lost,Medium,18,11263.24,0.0,5,May,2,Friday,0,0.0
2023-11-24,South,Bob,Training,Closed Won,Small,1,2933.31,2933.31,11,Nov,4,Friday,1,2933.31
2023-12-19,South,Bob,Training,Closed Won,Small,3,7411.74,22235.22,12,Dec,4,Tuesday,1,7411.74
2023-10-13,South,Bob,Support Package,Closed Won,Small,4,1480.27,5921.08,10,Oct,4,Friday,1,1480.27
2023-04-23,West,Frank,Hardware,Closed Won,Medium,13,10998.42,142979.46,4,Apr,2,Sunday,1,10998.42
2023-12-17,South,Frank,Support Package,Closed Won,Small,6,13967.72,83806.32,12,Dec,4,Sunday,1,13967.72
2023-06-16,Unknown,Carol,Training,Closed Lost,Medium,14,6742.77,0.0,6,Jun,2,Friday,0,0.0
2023-01-29,East,Carol,Consulting,Closed Won,Small,5,2227.54,11137.7,1,Jan,1,Sunday,1,2227.54
2023-04-28,South,Bob,Software Liscense,Closed Won,Small,16,7929.7,126875.2,4,Apr,2,Friday,1,7929.7
2023-01-17,South,David,Hardware,Closed Won,Large,15,5558.06,83370.9,1,Jan,1,Tuesday,1,5558.06
2023-06-11,West,Alice,Hardware,Closed Lost,Small,15,5934.96,0.0,6,Jun,2,Sunday,0,0.0
2023-07-25,South,Frank,Support Package,Closed Lost,Small,4,9509.29,0.0,7,Jul,3,Tuesday,0,0.0
2023-05-18,South,David,Hardware,Closed Lost,Medium,8,10921.41,0.0,5,May,2,Thursday,0,0.0
2023-02-03,South,Eva,Training,Closed Won,Small,16,2103.75,33660.0,2,Feb,1,Friday,1,2103.75
2023-04-19,West,Frank,Training,Closed Won,Medium,16,1016.06,16256.96,4,Apr,2,Wednesday,1,1016.06
2023-10-18,South,Frank,Support Package,Closed Lost,Medium,4,14917.79,0.0,10,Oct,4,Wednesday,0,0.0
2023-06-11,East,Carol,Training,Closed Lost,Small,13,3874.56,0.0,6,Jun,2,Sunday,0,0.0
2023-04-19,West,Alice,Consulting,Closed Won,Medium,13,1280.54,16647.02,4,Apr,2,Wednesday,1,1280.54
2023-12-02,East,Alice,Support Package,Closed Lost,Medium,2,3253.19,0.0,12,Dec,4,Saturday,0,0.0
2023-09-13,West,Henry,Consulting,Closed Lost,Small,3,1064.89,0.0,9,Sep,3,Wednesday,0,0.0
2023-07-22,South,Grace,Software Liscense,Closed Won,Small,8,6181.26,49450.08,7,Jul,3,Saturday,1,6181.26
2023-11-26,East,Grace,Consulting,Closed Lost,Small,15,12134.83,0.0,11,Nov,4,Sunday,0,0.0
2023-08-23,West,Grace,Software Liscense,Closed Won,Large,11,5448.04,59928.44,8,Aug,3,Wednesday,1,5448.04
2023-03-15,North,Grace,Software Liscense,Closed Won,Small,9,6940.66,62465.94,3,Mar,1,Wednesday,1,6940.66
2023-05-16,South,Eva,Consulting,Closed Won,Medium,7,10296.01,72072.07,5,May,2,Tuesday,1,10296.01
2023-03-13,West,Eva,Support Package,Closed Lost,Medium,13,7878.96,0.0,3,Mar,1,Monday,0,0.0
2023-05-07,North,Frank,Training,Closed Lost,Medium,2,12990.96,0.0,5,May,2,Sunday,0,0.0
2023-10-15,West,Bob,Training,Closed Lost,Small,8,13057.52,0.0,10,Oct,4,Sunday,0,0.0
2023-10-03,North,Carol,Software Liscense,Closed Won,Small,7,643.71,4505.97,10,Oct,4,Tuesday,1,643.71
2023-05-15,South,Carol,Software Liscense,Closed Lost,Medium,12,11781.67,0.0,5,May,2,Monday,0,0.0
2023-10-27,East,Grace,Support Package,Closed Lost,Small,19,7180.64,0.0,10,Oct,4,Friday,0,0.0
2023-08-08,North,Frank,Hardware,Closed Lost,Small,7,14838.19,0.0,8,Aug,3,Tuesday,0,0.0
2023-10-26,West,Henry,Software License,Closed Lost,Small,10,7506.87,0.0,10,Oct,4,Thursday,0,0.0
2023-07-24,South,David,Software Liscense,Closed Lost,Small,16,14809.99,0.0,7,Jul,3,Monday,0,0.0
2023-07-05,North,Bob,Training,Closed Won,Large,3,7411.74,22235.22,7,Jul,3,Wednesday,1,7411.74
2023-04-23,West,Frank,Support Package,Closed Won,Small,10,4104.77,41047.7,4,Apr,2,Sunday,1,4104.77
2023-03-12,West,Bob,Consulting,Closed Won,Small,6,8306.73,49840.38,3,Mar,1,Sunday,1,8306.73
2023-09-18,Unknown,Bob,Support Package,Closed Won,Small,18,14885.97,267947.46,9,Sep,3,Monday,1,14885.97
2023-09-10,North,Bob,Consulting,Closed Won,Medium,18,12934.19,232815.42,9,Sep,3,Sunday,1,12934.19
2023-02-16,North,Frank,Consulting,Closed Lost,Medium,5,1911.82,0.0,2,Feb,1,Thursday,0,0.0
2023-01-25,North,Grace,Software Liscense,Closed Won,Small,7,10742.39,75196.73,1,Jan,1,Wednesday,1,10742.39
2023-02-26,East,Carol,Support Package,Closed Won,Medium,2,5510.9,11021.8,2,Feb,1,Sunday,1,5510.9
2023-03-20,North,Carol,Support Package,Closed Lost,Medium,11,601.24,0.0,3,Mar,1,Monday,0,0.0
2023-11-18,North,Grace,Training,Closed Won,Large,13,6350.47,82556.11,11,Nov,4,Saturday,1,6350.47
2023-03-23,North,Bob,Training,Closed Won,Medium,5,3903.94,19519.7,3,Mar,1,Thursday,1,3903.94
2023-12-15,East,David,Software Liscense,Closed Won,Small,6,12373.6,74241.6,12,Dec,4,Friday,1,12373.6
2023-08-05,North,Alice,Software Liscense,Closed Won,Small,14,5391.29,75478.06,8,Aug,3,Saturday,1,5391.29
2023-11-02,West,Frank,Hardware,Closed Won,Small,12,12499.09,149989.08,11,Nov,4,Thursday,1,12499.09
2023-02-02,North,Alice,Training,Closed Won,Small,4,508.67,2034.68,2,Feb,1,Thursday,1,508.67
2023-07-17,Unknown,Henry,Consulting,Closed Won,Large,6,4963.38,29780.28,7,Jul,3,Monday,1,4963.38
2023-07-15,West,Grace,Support Package,Closed Lost,Small,10,3996.9,0.0,7,Jul,3,Saturday,0,0.0
2023-11-02,West,David,Software Liscense,Closed Won,Small,18,3886.73,69961.14,11,Nov,4,Thursday,1,3886.73
2023-08-28,East,Frank,Support Package,Closed Lost,Medium,15,1488.71,0.0,8,Aug,3,Monday,0,0.0
2023-09-28,East,Grace,Support Package,Closed Won,Medium,8,3213.3,25706.4,9,Sep,3,Thursday,1,3213.3
2023-05-09,East,Bob,Hardware,Closed Won,Small,9,8555.47,76999.23,5,May,2,Tuesday,1,8555.47
2023-10-11,North,Carol,Training,Closed Lost,Small,5,4724.74,0.0,10,Oct,4,Wednesday,0,0.0
2023-01-06,West,Alice,Software Liscense,Closed Won,Small,10,6552.22,65522.2,1,Jan,1,Friday,1,6552.22
2023-12-15,East,Eva,Support Package,Closed Won,Medium,6,5964.57,35787.42,12,Dec,4,Friday,1,5964.57
2023-02-28,East,Eva,Software Liscense,Closed Won,Small,16,7411.74,118587.84,2,Feb,1,Tuesday,1,7411.74
2023-12-16,North,David,Consulting,Closed Won,Small,3,13626.84,40880.52,12,Dec,4,Saturday,1,13626.84
2023-10-02,East,Bob,Hardware,Closed Won,Medium,10,7647.88,76478.8,10,Oct,4,Monday,1,7647.88
2023-05-17,North,Henry,Consulting,Closed Won,Small,11,7411.74,81529.14,5,May,2,Wednesday,1,7411.74
2023-11-25,South,Alice,Software Liscense,Closed Won,Medium,11,2048.61,22534.71,11,Nov,4,Saturday,1,2048.61
2023-06-24,East,Bob,Software Liscense,Closed Won,Small,17,14324.34,243513.78,6,Jun,2,Saturday,1,14324.34
2023-02-27,South,Alice,Training,Closed Lost,Small,4,1373.29,0.0,2,Feb,1,Monday,0,0.0
2023-05-31,North,David,Support Package,Closed Lost,Large,4,4815.93,0.0,5,May,2,Wednesday,0,0.0
2023-08-11,West,David,Support Package,Closed Lost,Medium,17,4821.96,0.0,8,Aug,3,Friday,0,0.0
2023-03-22,East,Henry,Consulting,Closed Won,Small,9,5145.82,46312.38,3,Mar,1,Wednesday,1,5145.82
2023-08-21,North,Eva,Hardware,Closed Lost,Medium,19,2882.16,0.0,8,Aug,3,Monday,0,0.0
2023-01-02,West,Bob,Support Package,Closed Won,Medium,5,11855.84,59279.2,1,Jan,1,Monday,1,11855.84
2023-05-15,West,Frank,Training,Closed Won,Medium,6,2276.22,13657.32,5,May,2,Monday,1,2276.22
2023-09-14,South,Eva,Consulting,Closed Won,Small,3,9706.15,29118.45,9,Sep,3,Thursday,1,9706.15
2023-04-02,North,Bob,Consulting,Closed Lost,Large,1,2295.77,0.0,4,Apr,2,Sunday,0,0.0
2023-09-17,West,Eva,Training,Closed Won,Small,16,1522.77,24364.32,9,Sep,3,Sunday,1,1522.77
2023-02-24,East,Frank,Hardware,Closed Won,Small,11,13686.73,150554.03,2,Feb,1,Friday,1,13686.73
2023-11-17,East,Carol,Training,Closed Won,Small,13,3256.87,42339.31,11,Nov,4,Friday,1,3256.87
2023-06-02,South,Carol,Hardware,Closed Lost,Small,10,7411.74,0.0,6,Jun,2,Friday,0,0.0
2023-11-24,West,Henry,Training,Closed Lost,Medium,3,8397.15,0.0,11,Nov,4,Friday,0,0.0
2023-09-17,North,Carol,Training,Closed Lost,Small,9,1628.92,0.0,9,Sep,3,Sunday,0,0.0
2023-11-08,East,Carol,Software Liscense,Closed Won,Small,12,14354.0,172248.0,11,Nov,4,Wednesday,1,14354.0
2023-04-12,Unknown,Grace,Consulting,Closed Won,Large,14,4080.94,57133.16,4,Apr,2,Wednesday,1,4080.94
2023-03-20,West,Alice,Training,Closed Won,Small,1,12964.86,12964.86,3,Mar,1,Monday,1,12964.86
2023-07-11,South,Grace,Training,Closed Won,Small,18,2947.75,53059.5,7,Jul,3,Tuesday,1,2947.75
2023-03-24,East,Grace,Support Package,Closed Won,Small,17,12882.17,218996.89,3,Mar,1,Friday,1,12882.17
2023-10-04,East,Henry,Consulting,Closed Lost,Small,9,691.82,0.0,10,Oct,4,Wednesday,0,0.0
2023-09-29,North,Grace,Support Package,Closed Lost,Small,9,7920.82,0.0,9,Sep,3,Friday,0,0.0
2023-01-01,East,Carol,Consulting,Closed Lost,Medium,10,11656.92,0.0,1,Jan,1,Sunday,0,0.0
2023-11-03,North,Frank,Support Package,Closed Lost,Small,19,14054.54,0.0,11,Nov,4,Friday,0,0.0
2023-06-15,East,Henry,Training,Closed Lost,Small,15,13683.43,0.0,6,Jun,2,Thursday,0,0.0
2023-09-08,South,Henry,Training,Closed Won,Medium,5,12384.56,61922.8,9,Sep,3,Friday,1,12384.56
2023-01-10,East,David,Software Liscense,Closed Won,Medium,15,7411.74,111176.1,1,Jan,1,Tuesday,1,7411.74
2023-02-27,North,Henry,Support Package,Closed Lost,Small,2,3388.69,0.0,2,Feb,1,Monday,0,0.0
2023-07-05,North,David,Hardware,Closed Won,Medium,13,4620.67,60068.71,7,Jul,3,Wednesday,1,4620.67
2023-06-07,South,Henry,Software Liscense,Closed Lost,Small,16,4690.04,0.0,6,Jun,2,Wednesday,0,0.0
2023-05-03,East,Alice,Support Package,Closed Won,Small,15,5967.28,89509.2,5,May,2,Wednesday,1,5967.28
2023-01-30,Unknown,Carol,Support Package,Closed Won,Medium,10,6203.15,62031.5,1,Jan,1,Monday,1,6203.15
2023-05-04,South,Henry,Software Liscense,Closed Lost,Small,14,8396.05,0.0,5,May,2,Thursday,0,0.0
2023-10-18,East,Carol,Training,Closed Lost,Large,10,2818.26,0.0,10,Oct,4,Wednesday,0,0.0
2023-02-10,East,Carol,Support Package,Closed Lost,Small,14,10523.08,0.0,2,Feb,1,Friday,0,0.0
2023-02-13,North,Eva,Training,Closed Won,Medium,9,2929.71,26367.39,2,Feb,1,Monday,1,2929.71
2023-09-06,East,Henry,Software Liscense,Closed Lost,Small,14,4999.47,0.0,9,Sep,3,Wednesday,0,0.0
2023-02-05,East,Bob,Training,Closed Won,Medium,3,7798.5,23395.5,2,Feb,1,Sunday,1,7798.5
2023-09-30,South,Eva,Consulting,Closed Won,Medium,16,12048.39,192774.24,9,Sep,3,Saturday,1,12048.39
2023-03-06,South,Bob,Hardware,Closed Won,Medium,2,11222.3,22444.6,3,Mar,1,Monday,1,11222.3
2023-03-07,West,Carol,Support Package,Closed Won,Small,10,9860.25,98602.5,3,Mar,1,Tuesday,1,9860.25
